Molecule ChEMBL ID,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Smiles
CHEMBL78946,IC50,'=',2.0,nM,8.7,CHEMBL4822,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O
CHEMBL2047887,IC50,'=',55.0,nM,7.26,CHEMBL4822,CCCN1CCC[C@@]12CCN([C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNCc1cccc(C(C)C)c1)C2=O
CHEMBL2047914,IC50,'=',670.0,nM,6.17,CHEMBL4822,CCCOc1cccc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)c1
CHEMBL2048050,IC50,'=',3.0,nM,8.52,CHEMBL4822,C[C@@H](Oc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)cc(F)c1N)C(F)(F)F
CHEMBL2047915,IC50,'=',115.0,nM,6.94,CHEMBL4822,CCCOc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)(C)C)c3)[C@H]2O)ccc1N
CHEMBL3937141,IC50,'=',82000.0,nM,4.09,CHEMBL4822,CC[C@]1(C)CCC2=C1CC[C@H]1[C@H]2C[C@@H](Cl)C2=C[C@@H](O)[C@@H]3C[C@@]21C(=O)O3
CHEMBL509486,IC50,'=',36800.0,nM,4.43,CHEMBL4822,C=C(C)[C@H](CCC(C)(C)O)Cc1c(O)cc(O)c2c1O[C@H](c1ccccc1O)CC2=O
CHEMBL566012,IC50,'=',29.99,nM,7.52,CHEMBL4822,COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)cc1C
CHEMBL590492,IC50,'=',69.98,nM,7.16,CHEMBL4822,CC(C)c1cc(C2(c3cccc(-c4cncnc4)c3)N=C(N)N(C)C2=O)ccn1
CHEMBL566200,IC50,'=',40.0,nM,7.4,CHEMBL4822,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(N)N(C)C2=O)cc1C
CHEMBL1257774,IC50,'=',4900.0,nM,5.31,CHEMBL4822,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2ncc(C(C)(C)C)o2)CC1
CHEMBL1164096,IC50,'=',100000.0,nM,4.0,CHEMBL4822,O=C(CN1CCN(Cc2ccccc2)CC1)N/N=C\c1cc(I)cc(I)c1O
CHEMBL1164697,IC50,'=',100000.0,nM,4.0,CHEMBL4822,O=C(NCCc1ccccc1)c1c[nH]c2ccc(S(=O)(=O)N3CCc4ccccc4C3)cc2c1=O
CHEMBL3642636,IC50,'=',3642.0,nM,5.44,CHEMBL4822,COCc1cc(NC(=O)c2ccc(OC(F)(F)F)cc2)cc(C2(C)CCSC(N)=N2)c1
CHEMBL3979722,IC50,'=',37.4,nM,7.43,CHEMBL4822,COc1cc(F)c2c(c1)C1(CCOC(N)=N1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1O2
CHEMBL1163414,IC50,'=',15200.0,nM,4.82,CHEMBL4822,COC(=O)CN1C(C)=C(C(=O)NOCc2ccccc2)C(C)C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)=C1C
CHEMBL3703303,IC50,'=',137.0,nM,6.86,CHEMBL4822,CC#Cc1cncc(-c2ccc3c(c2)C2(COC(N)=N2)C2(COC2)C(C)(C)O3)c1
CHEMBL3640021,IC50,'=',96500.0,nM,4.01,CHEMBL4822,Cc1cn2cc(-c3ccc4c(c3)C3(COC(N)=N3)C3(COC3)C3(CCC3)O4)ccc2n1
CHEMBL3650807,IC50,'=',994.0,nM,6.0,CHEMBL4822,CC1(C)Oc2ccc(-c3cccc4[nH]ncc34)cc2C2(COC(N)=N2)C12COC2
CHEMBL3908985,IC50,'=',19.0,nM,7.72,CHEMBL4822,NC1=N[C@](CO)(c2cc(Oc3cc(Br)ccn3)ccc2F)C[C@@H](C(F)(F)F)O1
CHEMBL3899306,IC50,'=',240.0,nM,6.62,CHEMBL4822,COc1cnc2c(Nc3cc(F)c(F)c([C@]4(C)C[C@@H](C(F)(F)F)OC(N)=N4)c3)nccc2n1
CHEMBL3953730,IC50,'=',93.0,nM,7.03,CHEMBL4822,C#CCOc1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1
CHEMBL3913444,IC50,'=',535.0,nM,6.27,CHEMBL4822,NC1=N[C@](CF)(c2cc(Nc3nccc4cc(Cl)cnc34)cc(F)c2F)C[C@@H](C(F)(F)F)O1
CHEMBL3979325,IC50,'=',379.0,nM,6.42,CHEMBL4822,NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(C#CC4CC4)cn3)cc(F)c2F)C[C@@H](C(F)(F)F)O1
CHEMBL3903133,IC50,'=',2860.0,nM,5.54,CHEMBL4822,[C-]#[N+]c1ccc(C(=O)Nc2cc(F)c(F)c([C@]3(C)C[C@@H](C(F)(F)F)OC(N)=N3)c2)nc1
CHEMBL3897411,IC50,'=',263.0,nM,6.58,CHEMBL4822,NC1=N[C@](CF)(c2cc(NC(=O)c3ccc(OCC(F)(F)F)cn3)ccc2F)C[C@@H](C(F)(F)F)O1
CHEMBL3903880,IC50,'=',28.6,nM,7.54,CHEMBL4822,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)cnc2F)C[C@@H](C(F)(F)F)OC(N)=N1
CHEMBL3921965,IC50,'=',23.0,nM,7.64,CHEMBL4822,Cc1cc(C#N)cnc1C(=O)Nc1cnc(F)c([C@]2(C)C[C@@H](C(F)(F)F)OC(N)=N2)c1
CHEMBL3945149,IC50,'=',4.5,nM,8.35,CHEMBL4822,C[C@@]1(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1
CHEMBL2347208,IC50,'=',2820.0,nM,5.55,CHEMBL4822,C[C@@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1
CHEMBL3930808,IC50,'=',21.9,nM,7.66,CHEMBL4822,C[C@@]1(c2nc(NC(=O)c3ncc(Br)cc3Cl)ccc2F)C[C@@H](C(F)(F)F)OC(N)=N1
CHEMBL1791013,IC50,'=',250.0,nM,6.6,CHEMBL4822,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](Cc1ccccc1)C(=O)NCc1cccc(C(=O)O)c1
CHEMBL1791012,IC50,'=',110.0,nM,6.96,CHEMBL4822,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCc1cccc(C(=O)O)c1
CHEMBL557127,IC50,'=',5600.0,nM,5.25,CHEMBL4822,CC(C)[C@H](NC(=O)CCC(O)(CCc1ccccc1)C(=O)Nc1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCc1ccccc1
CHEMBL3680898,IC50,'=',3.0,nM,8.52,CHEMBL4822,C[C@]1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OC[C@@H]1OCC(F)(F)F
CHEMBL556529,IC50,'=',4000.0,nM,5.4,CHEMBL4822,COC(=O)c1ccc(NC(=O)[C@@H](NC(=O)CCC(O)(Cc2ccccc2)C(=O)Nc2cc(C(=O)N[C@H](C)c3ccc(F)cc3)cc(N(C)S(C)(=O)=O)c2)C(C)C)cc1
CHEMBL540414,IC50,'=',230.0,nM,6.64,CHEMBL4822,CC(C)[C@H](NC(=O)C(O)(CCC(=O)Nc1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)CCc1ccccc1)C(=O)Nc1ccccc1
CHEMBL3354692,IC50,'=',19.0,nM,7.72,CHEMBL4822,COC(C)(C)C#Cc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3cncnc3)ccc1O2
CHEMBL3354695,IC50,'=',30.0,nM,7.52,CHEMBL4822,CC1(C)CN(c2ccc3c(c2)[C@]2(COC(N)=N2)c2cc(-c4cncnc4)ccc2O3)CCO1
CHEMBL131770,IC50,'=',2540.0,nM,5.59,CHEMBL4822,O=C(/C=C(O)/C=C/c1ccc(O)cc1)/C=C/c1ccc(O)cc1
CHEMBL3910301,IC50,'=',76.3,nM,7.12,CHEMBL4822,CO[C@H]1CC[C@]2(CC1)Cc1ccc(CC3CCCCC3)cc1C21N=C(N)N(C)O1
CHEMBL3889964,IC50,'=',144.3,nM,6.84,CHEMBL4822,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C(C)C)cc1C21N=C(N)N(C)O1
